fecha,cierre
23/05/2017 23:59,2320.419921875
24/05/2017 23:59,2443.639892578125
25/05/2017 23:59,2304.97998046875
26/05/2017 23:59,2202.419921875
27/05/2017 23:59,2038.8699951171875
28/05/2017 23:59,2155.800048828125
29/05/2017 23:59,2255.610107421875
30/05/2017 23:59,2175.469970703125
31/05/2017 23:59,2286.409912109375
01/06/2017 23:59,2407.8798828125
02/06/2017 23:59,2488.550048828125
03/06/2017 23:59,2515.35009765625
04/06/2017 23:59,2511.81005859375
05/06/2017 23:59,2686.81005859375
06/06/2017 23:59,2863.199951171875
07/06/2017 23:59,2732.159912109375
08/06/2017 23:59,2805.6201171875
09/06/2017 23:59,2823.81005859375
10/06/2017 23:59,2947.7099609375
11/06/2017 23:59,2958.110107421875
12/06/2017 23:59,2659.6298828125
13/06/2017 23:59,2717.02001953125
14/06/2017 23:59,2506.3701171875
15/06/2017 23:59,2464.580078125
16/06/2017 23:59,2518.56005859375
17/06/2017 23:59,2655.8798828125
18/06/2017 23:59,2548.2900390625
19/06/2017 23:59,2589.60009765625
20/06/2017 23:59,2721.7900390625
21/06/2017 23:59,2689.10009765625
22/06/2017 23:59,2705.409912109375
23/06/2017 23:59,2744.909912109375
24/06/2017 23:59,2608.719970703125
25/06/2017 23:59,2589.409912109375
26/06/2017 23:59,2478.449951171875
27/06/2017 23:59,2552.449951171875
28/06/2017 23:59,2574.7900390625
29/06/2017 23:59,2539.320068359375
30/06/2017 23:59,2480.840087890625
01/07/2017 23:59,2434.550048828125
02/07/2017 23:59,2506.469970703125
03/07/2017 23:59,2564.06005859375
04/07/2017 23:59,2601.639892578125
05/07/2017 23:59,2601.989990234375
06/07/2017 23:59,2608.56005859375
07/07/2017 23:59,2518.659912109375
08/07/2017 23:59,2571.340087890625
09/07/2017 23:59,2518.43994140625
10/07/2017 23:59,2372.56005859375
11/07/2017 23:59,2337.7900390625
12/07/2017 23:59,2398.840087890625
13/07/2017 23:59,2357.89990234375
14/07/2017 23:59,2233.340087890625
15/07/2017 23:59,1998.8599853515625
16/07/2017 23:59,1929.8199462890625
17/07/2017 23:59,2228.409912109375
18/07/2017 23:59,2318.8798828125
19/07/2017 23:59,2273.429931640625
20/07/2017 23:59,2817.60009765625
21/07/2017 23:59,2667.760009765625
22/07/2017 23:59,2810.1201171875
23/07/2017 23:59,2730.39990234375
24/07/2017 23:59,2754.860107421875
25/07/2017 23:59,2576.47998046875
26/07/2017 23:59,2529.449951171875
27/07/2017 23:59,2671.780029296875
28/07/2017 23:59,2809.010009765625
29/07/2017 23:59,2726.449951171875
30/07/2017 23:59,2757.179931640625
31/07/2017 23:59,2875.340087890625
01/08/2017 23:59,2718.260009765625
02/08/2017 23:59,2710.669921875
03/08/2017 23:59,2804.72998046875
04/08/2017 23:59,2895.889892578125
05/08/2017 23:59,3252.909912109375
06/08/2017 23:59,3213.93994140625
07/08/2017 23:59,3378.93994140625
08/08/2017 23:59,3419.93994140625
09/08/2017 23:59,3342.469970703125
10/08/2017 23:59,3381.280029296875
11/08/2017 23:59,3650.6201171875
12/08/2017 23:59,3884.7099609375
13/08/2017 23:59,4073.260009765625
14/08/2017 23:59,4325.1298828125
15/08/2017 23:59,4181.93017578125
16/08/2017 23:59,4376.6298828125
17/08/2017 23:59,4331.68994140625
18/08/2017 23:59,4160.6201171875
19/08/2017 23:59,4193.7001953125
20/08/2017 23:59,4087.659912109375
21/08/2017 23:59,4001.739990234375
22/08/2017 23:59,4100.52001953125
23/08/2017 23:59,4151.52001953125
24/08/2017 23:59,4334.68017578125
25/08/2017 23:59,4371.60009765625
26/08/2017 23:59,4352.39990234375
27/08/2017 23:59,4382.8798828125
28/08/2017 23:59,4382.66015625
29/08/2017 23:59,4579.02001953125
30/08/2017 23:59,4565.2998046875
31/08/2017 23:59,4703.39013671875
01/09/2017 23:59,4892.009765625
02/09/2017 23:59,4578.77001953125
03/09/2017 23:59,4582.9599609375
04/09/2017 23:59,4236.31005859375
05/09/2017 23:59,4376.52978515625
06/09/2017 23:59,4597.1201171875
07/09/2017 23:59,4599.8798828125
08/09/2017 23:59,4228.75
09/09/2017 23:59,4226.06005859375
10/09/2017 23:59,4122.93994140625
11/09/2017 23:59,4161.27001953125
12/09/2017 23:59,4130.81005859375
13/09/2017 23:59,3882.590087890625
14/09/2017 23:59,3154.949951171875
15/09/2017 23:59,3637.52001953125
16/09/2017 23:59,3625.0400390625
17/09/2017 23:59,3582.8798828125
18/09/2017 23:59,4065.199951171875
19/09/2017 23:59,3924.969970703125
20/09/2017 23:59,3905.949951171875
21/09/2017 23:59,3631.0400390625
