fecha,apertura
15/08/2015 00:00,265.71
16/08/2015 00:00,261.03
17/08/2015 00:00,256.09
18/08/2015 00:00,256.66
19/08/2015 00:00,246
20/08/2015 00:00,227.1
21/08/2015 00:00,235.95
22/08/2015 00:00,233.27
23/08/2015 00:00,230.47
24/08/2015 00:00,228.47
25/08/2015 00:00,211.79
26/08/2015 00:00,221.64
27/08/2015 00:00,225.17
28/08/2015 00:00,223.8
29/08/2015 00:00,232.09
30/08/2015 00:00,229.23
31/08/2015 00:00,228.43
01/09/2015 00:00,229.84
02/09/2015 00:00,227.65
03/09/2015 00:00,228.77
04/09/2015 00:00,226.79
05/09/2015 00:00,231.09
06/09/2015 00:00,235.45
07/09/2015 00:00,240.45
08/09/2015 00:00,240.12
09/09/2015 00:00,244.04
10/09/2015 00:00,237.96
11/09/2015 00:00,238.5
12/09/2015 00:00,239.94
13/09/2015 00:00,235.61
14/09/2015 00:00,230.17
15/09/2015 00:00,229.51
16/09/2015 00:00,229.3
17/09/2015 00:00,227.85
18/09/2015 00:00,232.44
19/09/2015 00:00,232.82
20/09/2015 00:00,230.23
21/09/2015 00:00,230.29
22/09/2015 00:00,226.15
23/09/2015 00:00,230.08
24/09/2015 00:00,229.42
25/09/2015 00:00,233.88
26/09/2015 00:00,235.14
27/09/2015 00:00,233.81
28/09/2015 00:00,232.4
29/09/2015 00:00,239.14
30/09/2015 00:00,236.78
01/10/2015 00:00,236.19
02/10/2015 00:00,237.15
03/10/2015 00:00,237.77
04/10/2015 00:00,239.06
05/10/2015 00:00,238.6
06/10/2015 00:00,240.85
07/10/2015 00:00,246.79
08/10/2015 00:00,243.47
09/10/2015 00:00,243.29
10/10/2015 00:00,244.49
11/10/2015 00:00,245.71
12/10/2015 00:00,248.05
13/10/2015 00:00,245.81
14/10/2015 00:00,249.97
15/10/2015 00:00,252.47
16/10/2015 00:00,254.49
17/10/2015 00:00,263.09
18/10/2015 00:00,270.04
19/10/2015 00:00,260.99
20/10/2015 00:00,264.28
21/10/2015 00:00,270.3
22/10/2015 00:00,267.9
23/10/2015 00:00,275.12
24/10/2015 00:00,278.6
25/10/2015 00:00,283.03
26/10/2015 00:00,283.96
27/10/2015 00:00,286.9
28/10/2015 00:00,295.59
29/10/2015 00:00,304.77
30/10/2015 00:00,314.95
31/10/2015 00:00,328.15
01/11/2015 00:00,309.3
02/11/2015 00:00,325.78
03/11/2015 00:00,361.73
04/11/2015 00:00,404.55
05/11/2015 00:00,407.99
06/11/2015 00:00,387.77
07/11/2015 00:00,374.41
08/11/2015 00:00,384.62
09/11/2015 00:00,372.86
10/11/2015 00:00,378.32
11/11/2015 00:00,336.66
12/11/2015 00:00,309.9
13/11/2015 00:00,337.17
14/11/2015 00:00,336.28
15/11/2015 00:00,333.02
16/11/2015 00:00,319.3
17/11/2015 00:00,330.95
18/11/2015 00:00,336
19/11/2015 00:00,334.53
20/11/2015 00:00,326.51
21/11/2015 00:00,322.05
22/11/2015 00:00,326.5
23/11/2015 00:00,324.24
24/11/2015 00:00,323.48
25/11/2015 00:00,319.7
26/11/2015 00:00,328.9
27/11/2015 00:00,353.9
28/11/2015 00:00,357.14
29/11/2015 00:00,356.78
30/11/2015 00:00,371.48
01/12/2015 00:00,376.7
02/12/2015 00:00,363.06
03/12/2015 00:00,359.11
04/12/2015 00:00,361.48
05/12/2015 00:00,363.62
06/12/2015 00:00,388
07/12/2015 00:00,387.18
08/12/2015 00:00,394.96
